리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
자유로운 플레이를 하고싶은 분들다양한 컨텐츠를 즐기고 좋아하시는 분들발랄하고 기분이 좋아지는 사운드를 좋아하시는 분들강력추천합니다하지만 어두운장르를 좋아하시는 분들은 비추입니다	83.9	849	57	180	2017	6	1
너무재밌는데..는데...는데.........한국 유저 많은거 같은데 한글패치는 안나오나요..?꾸준히 패치해주셔서 좋긴 합니다만.....(너무 좋습니다 정식 멀티를 만들다니 당신은 최고입니다 야시장이벤트도 너무 좋습니다....)게임을 너무 좋아하다보니 정식 한글패치가 없는게 너무 아쉬워서 의견 한번 내고 갑니다	392.2	289	6	42	2018	7	1
19년1월25일 기준 완벽 한글화!!스타듀벨리(마우스우클릭)->속성->베타 (참여하기)하시면 한글버젼으로 즐기실수있습니다	42.0	291	7	80	2019	1	1
힐링하러 왔다가 과로로 쓰러지는 게임	104.4	168	73	8	2020	12	1
촌구석연애시뮬레이션	106.6	201	43	158	2017	5	1
"스타듀 밸리 (STARDEW VALLEY) 평가 --=[]=-- ☑ 제값 줘도 안 아까움☐ 10%~30% 세일도 살 만함☐ 최소 50% 세일까지 존버☐ 최소 75% 혹은 번들을 노리셈 --=[]=-- ☐ 개오짐☑ 상당함☐ 좋음☐ 나쁘지 않음☐ 그냥저냥☐ 별로임☐ 후짐 --=[]=-- ☐ 귀르가즘☑ 상당함☐ 좋음☐ 나쁘지 않음☐ 그냥저냥☐ 별로임☐ 후짐 --=[]=-- ☐ 한국어 지원 게임☑ 한국어 지원 게임 (하지만 결점들이 보임)☐ 유저 한국어 패치 존재☐ 유저 한국어 패치 존재 (하지만 결점들이 보임)☐ 한국어 미지원이지만 없어도 플레이 가능함☐ 한국어 미지원이며 플레이에 차질이 있음 --=[]=-- ☑ 조선 컴☐ 사무용 컴☐ 그저 그런 컴☐ 나쁘지 않은 컴☐ 좋은 컴☐ 고사양 컴☐ 초고사양 컴 --=[]=-- ☐ 핵꿀잼☑ 재미있음☐ 흥미로움☐ 할 만함☑ 괜찮음☐ 별로임☐ 개노잼 --=[]=-- ☐ 애초 난이도 개념이 없음☑ 쉬움☐ 초반엔 쉽지만 갈수록 어려워짐☐ 어려움☐ 졸라 어려움 --=[]=-- ☑ 길음 (40시간 이상)☐ 평범함 (15-40시간)☐ 짧음 (5-15시간)☐ 졸라 짧음 (0-5시간)☐ 플레이어에 따라 다름☐ 무한정 플레이 가능 --=[]=-- ☐ 감동적임☐ 재미있음☑ 평범함☐ 그닥임☐ 스토리 없는 게임임--=[]=-- ☑ 게임과 내가 하나됨☐ 상당히 매력적임☐ 그럭저럭 괜찮음☐ 그냥 그저 그럼☐ 애초에 몰입감으로 하는 게임이 아님 --=[]=-- ☑ 방대함☐ 나름 규모 있음☐ 고만고만함☐ 존재는 함☐ 없음 --=[]=-- ☐ 체감상 아예 없었음☐ 쓸모있는 버그들이 있음☑ 한두 개 정도는 있었음☐ 이따금씩 체감됨☐ 그래도 참으면서 할 만함☐ 못 해 먹을 정도 --=[]=-- <스타듀 밸리>는 출시될 때부터 줄곧 유저들에게 큰 사랑은 받은 농장 경영 게임입니다. + 이 게임의 독보적인 장점, 그리고 타 팜류 게임들과 차별화되는 점이라 하면, 바로 무궁무진한 컨텐츠를 예로 들 수 있겠죠. 단순히 씨를 뿌려서 농작물을 수확해 파는 것뿐만이 아닌, 낚시나 던전, 다양한 스토리 루트, 넓은 맵, 그리고 미연시(?)까지, 뭐가 정말 너무 많습니다.그 덕에 유저 취향껏 캐릭터를 키워나갈 수 있습니다. 저 같은 경우는 농사는 최소한만큼 하고, 낚시를 다니거나 던전을 돌거나 하는 등 바깥 활동을 많이 했습니다.+ 도트 그래픽이 정말 아름다운 게임입니다. 비록 도트지만 실제 게임 속 풍경이 연상되는 수준입니다.사운드도 정말 매력적입니다. 정말 잘 만들었어요. 시각적, 청각적인 부분에 있어서는 찬사를 보내도 될 수준입니다.덕분에 게임의 몰입감이 장난 아닙니다. 한창 할 때는 밤 새 가면서 했어요.+ 가격 대비 소비할 컨텐츠가 정말 많은 게임으로, 가성비가 매우 뛰어난 게임입니다. 제값 주고 사도 전혀 아깝지 않은 수준입니다. 16,000원? 하다 보면 어느새 몇십 시간은 훌쩍 넘어가 있더군요. + 모드도 많이 나와 있습니다. 2019년 6월 기준 3,400개 이상의 모드가 넥서스모드에 올라와 있습니다. https://www.nexusmods.com/stardewvalley- 물론, 스타듀 밸리는 어디까지나 농장 경영 게임입니다. 한가하고 느긋하며 무언가를 끊임없이 만들어야 하는 게임이예요.때려부수는 게임, 스피디한 진행의 게임을 좋아하시는 분들은 무턱대고 남들이 ""갓겜""이라 한다고 해서 구매하시지는 마시기 바랍니다.저도 무언가를 짓고 만드는 게임을 선호하지 않아서인지 한창 던전만 돌다가 지쳐서 결국 그만 하게 되더군요.- 한글 번역이 군데군데 문제가 있다는 제보가 있습니다.팜류 게임을 좋아하시는 분들에게 <스타듀 밸리>는 무조건 구매해야 할 타이틀이라고 생각합니다. 강력하게 추천합니다.———————————이와 같은 더 많은 게임 리뷰 소식을 받아보고 싶으시면 제 게임 큐레이터 페이지를 팔로우해주세요. 큐레이션 스팀 그룹에도 많은 가입 부탁드립니다. 감사합니다."	47.2	288	29	1644	2019	6	1
이거제발좀 공식한글화 PLEASE MAKE A KOREAN LANGUAGE!!!! I'M BEGGING YOU GUYS!!!	6.8	154	10	25	2018	4	1
힐링하려고 시작했다가 잠을 못 자서 몸이 망가지는 게임	170.1	137	91	242	2016	11	1
힐링하라고 만든 노가다겜과 한국인이 만나면 어떤 일이 벌어지는지 알려주는 게임.한국인이 이 게임을 시작할 때 첫 번쨰로 기억해야 하는 건 '마음 내키는 대로 여유롭게 해라'임낚시, 농사, 밭 가꾸기, 결혼, 괭이질 등 평화롭게 할 수 있는 씹갓겜 힐링겜은 맞음나도 fps겜만 하다가 힐링 좀 하고 싶어서 왔는데 정신을 차려보니까 마을 지름길 찾고 행동에 소모되는 에너지 계산해서 탈진 직전까지 움직이고캐릭터 혹사시키다가 1시 50분에 부랴부랴 집 들어와서 겨우 잠내가 키우고 싶은 작물이 아니라 돈 될 만한 작물들 대량으로 키우고 그 돈으로 집부터 넓힘나무위키 가서 정보 찾아보고 가장 효율적인 루트로만 플레이함내가 비정상인가 싶어 친구들에게 물어보니 자기네도 똑같다고 하더라이건 힐링겜이다...난 힐링을 하러 스타듀밸리에 온 거다...라고 되뇌이면서 마음의 여유를 찾고 천천히 하자는 마인드로 플레이해야 함목표가 없는 게임이니 시간에 쫓기지 말고 1년이든 2년이든 상황에 맞춰 천천히 하면 되는 게임인데...그걸 자꾸 잊어버려...	44.4	168	68	44	2020	1	1
인생 날리기 싫으면 하지 마세요 진짜ㅋㅋㅋㅋㅋㅋ맨날 바탕화면에 깔아놓고 하다가 윈도우 업뎃하면서 같이 날아가서 겨우 지움.... 플탐보면 알겠지만 1년 날림 능력자들 때문에 질릴 틈이 없음 한 40시간 하면 엔딩도 다 보고 슬슬 질리는데 그때 스듀 카페 들어가서 새로 나온 모드 깔아주고 질리면 딴거 또 깔고 그래도 질리면 대사패치하고 그래도 질리면 초상화패치했다가 새게임 시작하면 또함 그리고 이것만 하면 지루한데 유튜브 틀어놓고 들으면서 게임하면 딱좋음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 플탐보니까 인생 개노답이네	2164.5	223	198	36	2019	2	1
